PK_STATION|STATION_NAME|WATERBODY_TYPE|WATER_RESOURCE|WATERBODY_NAME|COUNTY_NAME|HYDROLOGIC_UNIT_CODE|TMDL_BASIN|WBID|PLANNING_UNIT|GIS_ALBX|GIS_ALBY|LATITUDE|LONGITUDE|LAT_DD|LAT_MM|LAT_SS|LONG_DD|LONG_MM|LONG_SS|CMCD_COORDINATE_METHOD_ID|DCD_DATUM_ID|PK_PROJECT|COLLECTION_AGENCY|COLLECTION_DATE|COLLECTION_TIME|SAMPLE_TYPE|MATRIX|SAMPLE_DEPTH|SAMPLE_COMMENTS|FK_PARAM_CODE|PARAMETER|VALUE|VALUE_TEXT|UNITS|VALUE_QUALIFIER|MDL|PQL|ANALYZING_AGENCY|JOB_NAME|LAB_SAMPLE_ID|ANALYSIS_METHOD|ANALYSIS_DATE|ANALYSIS_TIME|RESULT_COMMENT
21795|NW1-SS-2043|STREAM|SMALL STREAM|BIG CREEK|LIBERTY|03120003|OCHLOCKONEE - ST. MARKS|913|TELOGIA CREEK|321883.59|712214.75|302454.437|844850.050|30|24|54.437|84|48|50.05|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|5/25/2004 2:45:00 PM|1445|BOTTOM|WATER|0.3|BIG CREEK|406|pH, Field|4.3|4.3|SU||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 150.1|5/25/2004 2:45:00 PM|1445|
21795|NW1-SS-2043|STREAM|SMALL STREAM|BIG CREEK|LIBERTY|03120003|OCHLOCKONEE - ST. MARKS|913|TELOGIA CREEK|321883.59|712214.75|302454.437|844850.050|30|24|54.437|84|48|50.05|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|5/25/2004 2:45:00 PM|1445|BOTTOM|WATER|0.3|BIG CREEK|90068|Sample Depth|0.3|.3|meters||||DEP AMBIENT WATER QUALITY MONITORING||||5/25/2004 2:45:00 PM|1445|
21792|NW1-SS-2036|STREAM|SMALL STREAM|ARBOR BUSH BRANCH|WAKULLA|03120003|OCHLOCKONEE - ST. MARKS|1168|SOUTH OCHLOCKONEE RIVER|338437.14|681245.05|300813.099|843823.133|30|8|13.099|84|38|23.133|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|6/3/2004 3:05:00 PM|1505|BOTTOM|WATER|0.3||10|Water Temperature|21.54|21.54|degrees C||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 170.1|6/3/2004 3:05:00 PM|1505|
21792|NW1-SS-2036|STREAM|SMALL STREAM|ARBOR BUSH BRANCH|WAKULLA|03120003|OCHLOCKONEE - ST. MARKS|1168|SOUTH OCHLOCKONEE RIVER|338437.14|681245.05|300813.099|843823.133|30|8|13.099|84|38|23.133|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|6/3/2004 3:05:00 PM|1505|BOTTOM|WATER|0.3||94|Specific Conductance, Field|42|42|uS/cm||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 120.1|6/3/2004 3:05:00 PM|1505|
21792|NW1-SS-2036|STREAM|SMALL STREAM|ARBOR BUSH BRANCH|WAKULLA|03120003|OCHLOCKONEE - ST. MARKS|1168|SOUTH OCHLOCKONEE RIVER|338437.14|681245.05|300813.099|843823.133|30|8|13.099|84|38|23.133|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|6/3/2004 3:05:00 PM|1505|BOTTOM|WATER|0.3||299|Oxygen, Dissolved, Field|6.13|6.13|mg/L||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 360.1|6/3/2004 3:05:00 PM|1505|
21792|NW1-SS-2036|STREAM|SMALL STREAM|ARBOR BUSH BRANCH|WAKULLA|03120003|OCHLOCKONEE - ST. MARKS|1168|SOUTH OCHLOCKONEE RIVER|338437.14|681245.05|300813.099|843823.133|30|8|13.099|84|38|23.133|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|6/3/2004 3:05:00 PM|1505|BOTTOM|WATER|0.3||406|pH, Field|5.56|5.56|SU||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 150.1|6/3/2004 3:05:00 PM|1505|
21792|NW1-SS-2036|STREAM|SMALL STREAM|ARBOR BUSH BRANCH|WAKULLA|03120003|OCHLOCKONEE - ST. MARKS|1168|SOUTH OCHLOCKONEE RIVER|338437.14|681245.05|300813.099|843823.133|30|8|13.099|84|38|23.133|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|6/3/2004 3:05:00 PM|1505|BOTTOM|WATER|0.3||90068|Sample Depth|0.3|.3|meters||||DEP AMBIENT WATER QUALITY MONITORING||||6/3/2004 3:05:00 PM|1505|
21803|NW1-SS-2065|STREAM|SMALL STREAM|ROCKY COMFORT CREEK|GADSDEN|03120003|OCHLOCKONEE - ST. MARKS|1304|NORTH OCHLOCKONEE RIVER|343404.56|719771.96|302903.557|843524.196|30|29|3.557|84|35|24.196|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|6/22/2004 2:15:00 PM|1415|BOTTOM|WATER|0.25|ROCKY COMFORT CREEK|10|Water Temperature|24.97|24.97|degrees C||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 170.1|6/22/2004 2:15:00 PM|1415|
21803|NW1-SS-2065|STREAM|SMALL STREAM|ROCKY COMFORT CREEK|GADSDEN|03120003|OCHLOCKONEE - ST. MARKS|1304|NORTH OCHLOCKONEE RIVER|343404.56|719771.96|302903.557|843524.196|30|29|3.557|84|35|24.196|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|6/22/2004 2:15:00 PM|1415|BOTTOM|WATER|0.25|ROCKY COMFORT CREEK|94|Specific Conductance, Field|105|105|uS/cm||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 120.1|6/22/2004 2:15:00 PM|1415|
21803|NW1-SS-2065|STREAM|SMALL STREAM|ROCKY COMFORT CREEK|GADSDEN|03120003|OCHLOCKONEE - ST. MARKS|1304|NORTH OCHLOCKONEE RIVER|343404.56|719771.96|302903.557|843524.196|30|29|3.557|84|35|24.196|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|6/22/2004 2:15:00 PM|1415|BOTTOM|WATER|0.25|ROCKY COMFORT CREEK|299|Oxygen, Dissolved, Field|7.18|7.18|mg/L||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 360.1|6/22/2004 2:15:00 PM|1415|
21803|NW1-SS-2065|STREAM|SMALL STREAM|ROCKY COMFORT CREEK|GADSDEN|03120003|OCHLOCKONEE - ST. MARKS|1304|NORTH OCHLOCKONEE RIVER|343404.56|719771.96|302903.557|843524.196|30|29|3.557|84|35|24.196|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|6/22/2004 2:15:00 PM|1415|BOTTOM|WATER|0.25|ROCKY COMFORT CREEK|406|pH, Field|7.1|7.1|SU||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 150.1|6/22/2004 2:15:00 PM|1415|
21803|NW1-SS-2065|STREAM|SMALL STREAM|ROCKY COMFORT CREEK|GADSDEN|03120003|OCHLOCKONEE - ST. MARKS|1304|NORTH OCHLOCKONEE RIVER|343404.56|719771.96|302903.557|843524.196|30|29|3.557|84|35|24.196|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|6/22/2004 2:15:00 PM|1415|BOTTOM|WATER|0.25|ROCKY COMFORT CREEK|90068|Sample Depth|0.25|.25|meters||||DEP AMBIENT WATER QUALITY MONITORING||||6/22/2004 2:15:00 PM|1415|
27432|NW2-SS-2042|STREAM|SMALL STREAM|UNNAMED SMALL STREAM|GADSDEN|03130011|APALACHICOLA - CHIPOLA|386|APALACHICOLA RIVER|338527.26|742947.2|304134.616|843831.782|30|41|34.616|84|38|31.782|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|5/16/2005 11:25:00 AM|1125|BOTTOM|WATER|0.7|AGPS|10|Water Temperature|21|21|degrees C||||NORTHWEST FLORIDA WMD|||EPA 170.1|5/16/2005 11:25:00 AM|1125|
27432|NW2-SS-2042|STREAM|SMALL STREAM|UNNAMED SMALL STREAM|GADSDEN|03130011|APALACHICOLA - CHIPOLA|386|APALACHICOLA RIVER|338527.26|742947.2|304134.616|843831.782|30|41|34.616|84|38|31.782|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|5/16/2005 11:25:00 AM|1125|BOTTOM|WATER|0.7|AGPS|94|Specific Conductance, Field|102|102|uS/cm||||NORTHWEST FLORIDA WMD|||EPA 120.1|5/16/2005 11:25:00 AM|1125|
27432|NW2-SS-2042|STREAM|SMALL STREAM|UNNAMED SMALL STREAM|GADSDEN|03130011|APALACHICOLA - CHIPOLA|386|APALACHICOLA RIVER|338527.26|742947.2|304134.616|843831.782|30|41|34.616|84|38|31.782|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|5/16/2005 11:25:00 AM|1125|BOTTOM|WATER|0.7|AGPS|299|Oxygen, Dissolved, Field|8.32|8.32|mg/L||||NORTHWEST FLORIDA WMD|||EPA 360.1|5/16/2005 11:25:00 AM|1125|
27432|NW2-SS-2042|STREAM|SMALL STREAM|UNNAMED SMALL STREAM|GADSDEN|03130011|APALACHICOLA - CHIPOLA|386|APALACHICOLA RIVER|338527.26|742947.2|304134.616|843831.782|30|41|34.616|84|38|31.782|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|5/16/2005 11:25:00 AM|1125|BOTTOM|WATER|0.7|AGPS|406|pH, Field|6|6|SU||||NORTHWEST FLORIDA WMD|||EPA 150.1|5/16/2005 11:25:00 AM|1125|
27432|NW2-SS-2042|STREAM|SMALL STREAM|UNNAMED SMALL STREAM|GADSDEN|03130011|APALACHICOLA - CHIPOLA|386|APALACHICOLA RIVER|338527.26|742947.2|304134.616|843831.782|30|41|34.616|84|38|31.782|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|5/16/2005 11:25:00 AM|1125|BOTTOM|WATER|0.7|AGPS|90068|Sample Depth|0.7|.7|meters||||NORTHWEST FLORIDA WMD||||5/16/2005 11:25:00 AM|1125|
27434|NW2-SS-2021|STREAM|SMALL STREAM|BLACK CREEK|LIBERTY|03130011|APALACHICOLA - CHIPOLA|1164|APALACHICOLA RIVER|305883.82|669469.16|300144.272|845837.455|30|1|44.272|84|58|37.455|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|5/18/2005 1:30:00 PM|1330|BOTTOM|WATER|0.4|BLACK CREEK, AGPS|10|Water Temperature|22.5|22.5|degrees C||||NORTHWEST FLORIDA WMD|||EPA 170.1|5/18/2005 1:30:00 PM|1330|
27434|NW2-SS-2021|STREAM|SMALL STREAM|BLACK CREEK|LIBERTY|03130011|APALACHICOLA - CHIPOLA|1164|APALACHICOLA RIVER|305883.82|669469.16|300144.272|845837.455|30|1|44.272|84|58|37.455|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|5/18/2005 1:30:00 PM|1330|BOTTOM|WATER|0.4|BLACK CREEK, AGPS|94|Specific Conductance, Field|25|25|uS/cm||||NORTHWEST FLORIDA WMD|||EPA 120.1|5/18/2005 1:30:00 PM|1330|
27434|NW2-SS-2021|STREAM|SMALL STREAM|BLACK CREEK|LIBERTY|03130011|APALACHICOLA - CHIPOLA|1164|APALACHICOLA RIVER|305883.82|669469.16|300144.272|845837.455|30|1|44.272|84|58|37.455|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|5/18/2005 1:30:00 PM|1330|BOTTOM|WATER|0.4|BLACK CREEK, AGPS|299|Oxygen, Dissolved, Field|6.25|6.25|mg/L||||NORTHWEST FLORIDA WMD|||EPA 360.1|5/18/2005 1:30:00 PM|1330|
27434|NW2-SS-2021|STREAM|SMALL STREAM|BLACK CREEK|LIBERTY|03130011|APALACHICOLA - CHIPOLA|1164|APALACHICOLA RIVER|305883.82|669469.16|300144.272|845837.455|30|1|44.272|84|58|37.455|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|5/18/2005 1:30:00 PM|1330|BOTTOM|WATER|0.4|BLACK CREEK, AGPS|406|pH, Field|3.9|3.9|SU||||NORTHWEST FLORIDA WMD|||EPA 150.1|5/18/2005 1:30:00 PM|1330|
27434|NW2-SS-2021|STREAM|SMALL STREAM|BLACK CREEK|LIBERTY|03130011|APALACHICOLA - CHIPOLA|1164|APALACHICOLA RIVER|305883.82|669469.16|300144.272|845837.455|30|1|44.272|84|58|37.455|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|5/18/2005 1:30:00 PM|1330|BOTTOM|WATER|0.4|BLACK CREEK, AGPS|90068|Sample Depth|0.4|.4|meters||||NORTHWEST FLORIDA WMD||||5/18/2005 1:30:00 PM|1330|
27437|NW2-SS-2018|STREAM|SMALL STREAM|TOOLCHEST BRANCH|CALHOUN|03130012|APALACHICOLA - CHIPOLA|894|CHIPOLA RIVER|285886.73|713405.91|302523.592|851120.608|30|25|23.592|85|11|20.608|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|6/2/2005 1:25:00 PM|1325|BOTTOM|WATER|0.3|TOOLCHEST BRANCH, AGPS|10|Water Temperature|23|23|degrees C||||NORTHWEST FLORIDA WMD|||EPA 170.1|6/2/2005 1:25:00 PM|1325|
27437|NW2-SS-2018|STREAM|SMALL STREAM|TOOLCHEST BRANCH|CALHOUN|03130012|APALACHICOLA - CHIPOLA|894|CHIPOLA RIVER|285886.73|713405.91|302523.592|851120.608|30|25|23.592|85|11|20.608|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|6/2/2005 1:25:00 PM|1325|BOTTOM|WATER|0.3|TOOLCHEST BRANCH, AGPS|94|Specific Conductance, Field|24|24|uS/cm||||NORTHWEST FLORIDA WMD|||EPA 120.1|6/2/2005 1:25:00 PM|1325|
27437|NW2-SS-2018|STREAM|SMALL STREAM|TOOLCHEST BRANCH|CALHOUN|03130012|APALACHICOLA - CHIPOLA|894|CHIPOLA RIVER|285886.73|713405.91|302523.592|851120.608|30|25|23.592|85|11|20.608|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|6/2/2005 1:25:00 PM|1325|BOTTOM|WATER|0.3|TOOLCHEST BRANCH, AGPS|299|Oxygen, Dissolved, Field|7.28|7.28|mg/L||||NORTHWEST FLORIDA WMD|||EPA 360.1|6/2/2005 1:25:00 PM|1325|
27437|NW2-SS-2018|STREAM|SMALL STREAM|TOOLCHEST BRANCH|CALHOUN|03130012|APALACHICOLA - CHIPOLA|894|CHIPOLA RIVER|285886.73|713405.91|302523.592|851120.608|30|25|23.592|85|11|20.608|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|6/2/2005 1:25:00 PM|1325|BOTTOM|WATER|0.3|TOOLCHEST BRANCH, AGPS|406|pH, Field|3.9|3.9|SU||||NORTHWEST FLORIDA WMD|||EPA 150.1|6/2/2005 1:25:00 PM|1325|
27437|NW2-SS-2018|STREAM|SMALL STREAM|TOOLCHEST BRANCH|CALHOUN|03130012|APALACHICOLA - CHIPOLA|894|CHIPOLA RIVER|285886.73|713405.91|302523.592|851120.608|30|25|23.592|85|11|20.608|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|6/2/2005 1:25:00 PM|1325|BOTTOM|WATER|0.3|TOOLCHEST BRANCH, AGPS|90068|Sample Depth|0.3|.3|meters||||NORTHWEST FLORIDA WMD||||6/2/2005 1:25:00 PM|1325|
27438|NW2-SS-2045|STREAM|SMALL STREAM|JUNIPER CREEK (CALHOUN COUNTY)|CALHOUN|03130012|APALACHICOLA - CHIPOLA|749|CHIPOLA RIVER|287967.88|706116.76|302127.803|850959.958|30|21|27.803|85|9|59.958|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|6/2/2005 4:00:00 PM|1600|BOTTOM|WATER|0.9|JUNIPER CREEK, AGPS|10|Water Temperature|22.7|22.7|degrees C||||NORTHWEST FLORIDA WMD|||EPA 170.1|6/2/2005 4:00:00 PM|1600|
27438|NW2-SS-2045|STREAM|SMALL STREAM|JUNIPER CREEK (CALHOUN COUNTY)|CALHOUN|03130012|APALACHICOLA - CHIPOLA|749|CHIPOLA RIVER|287967.88|706116.76|302127.803|850959.958|30|21|27.803|85|9|59.958|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|6/2/2005 4:00:00 PM|1600|BOTTOM|WATER|0.9|JUNIPER CREEK, AGPS|94|Specific Conductance, Field|23|23|uS/cm||||NORTHWEST FLORIDA WMD|||EPA 120.1|6/2/2005 4:00:00 PM|1600|
27438|NW2-SS-2045|STREAM|SMALL STREAM|JUNIPER CREEK (CALHOUN COUNTY)|CALHOUN|03130012|APALACHICOLA - CHIPOLA|749|CHIPOLA RIVER|287967.88|706116.76|302127.803|850959.958|30|21|27.803|85|9|59.958|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|6/2/2005 4:00:00 PM|1600|BOTTOM|WATER|0.9|JUNIPER CREEK, AGPS|299|Oxygen, Dissolved, Field|7.38|7.38|mg/L||||NORTHWEST FLORIDA WMD|||EPA 360.1|6/2/2005 4:00:00 PM|1600|
27438|NW2-SS-2045|STREAM|SMALL STREAM|JUNIPER CREEK (CALHOUN COUNTY)|CALHOUN|03130012|APALACHICOLA - CHIPOLA|749|CHIPOLA RIVER|287967.88|706116.76|302127.803|850959.958|30|21|27.803|85|9|59.958|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|6/2/2005 4:00:00 PM|1600|BOTTOM|WATER|0.9|JUNIPER CREEK, AGPS|406|pH, Field|3.8|3.8|SU||||NORTHWEST FLORIDA WMD|||EPA 150.1|6/2/2005 4:00:00 PM|1600|
27438|NW2-SS-2045|STREAM|SMALL STREAM|JUNIPER CREEK (CALHOUN COUNTY)|CALHOUN|03130012|APALACHICOLA - CHIPOLA|749|CHIPOLA RIVER|287967.88|706116.76|302127.803|850959.958|30|21|27.803|85|9|59.958|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|6/2/2005 4:00:00 PM|1600|BOTTOM|WATER|0.9|JUNIPER CREEK, AGPS|90068|Sample Depth|0.9|.9|meters||||NORTHWEST FLORIDA WMD||||6/2/2005 4:00:00 PM|1600|
27439|NW2-SS-2037|STREAM|SMALL STREAM|UNNAMED SMALL STREAM|GADSDEN|03130011|APALACHICOLA - CHIPOLA|381|APALACHICOLA RIVER|327580.14|744014.42|304207.227|844523.703|30|42|7.227|84|45|23.703|AGPS|WGS84|NWSS050402|NORTHWEST FLORIDA WMD|6/7/2005 11:25:00 AM|1125|BOTTOM|WATER|0.5|AGPS|10|Water Temperature|21.3|21.3|degrees C||||NORTHWEST FLORIDA WMD|||EPA 170.1|6/7/2005 11:25:00 AM|1125|
